instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.058047994,-0.372990078,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.061287774,-0.399113888,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.250666979,-0.369385274,1,0,0,0.861,button_left,0.861,0,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.250666979,-0.369385274,1,0,0,0.5651,button_left,0.5651,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.250666979,-0.369385274,1,0,0,1.4098,button_left,1.4098,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.250666979,-0.369385274,1,0,0,0.8117,button_left,0.8117,0,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.250666979,-0.369385274,1,0,0,1.1253,button_left,1.1253,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,0,0.261887699,-0.270903015,1,0,0,1.7862,button_right,1.7862,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,0,,,,,,,,1.8611,0,0,6,6,7,1,stimuli/blank.png,Evil,l,1.8611,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,2.1837,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,2.1837,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.7393,1,0,8,8,2,1,stimuli/blank.png,Happy,a,0.7393,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.7888,1,0,9,9,0,1,stimuli/blank.png,Good,a,0.7888,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,1.3488,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,1.3488,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,1.6735,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,1.6735,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.6273,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,0.6273,,,,,,,,
,,,,,,,,,,,,,11,1,001,male,2023-02-13_21h29.35.700,openIAT,2020.1.0rc3,MacIntel,60,a,0,,,,,,,,0.5066,0,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,0.5066,,,,,,,,
