instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right,key_resp.rt
-0.023791808,-0.380297411,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006481468,-0.378703717,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.380555548,-0.24259266,1,0,0,1.1258,button_left,1.1258,0,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.356481474,-0.212037048,1,0,0,2.46218,button_left,2.46218,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.356481474,-0.215740751,1,0,0,1.080475,button_left,1.080475,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.334259251,-0.257407419,1,0,0,0.76282,button_left,0.76282,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.321296288,-0.282407419,1,0,0,1.762035,button_left,1.762035,0,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.282407425,-0.314814827,1,0,0,1.1966,button_right,1.1966,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.345370389,-0.359259272,1,0,0,3.39439,button_right,3.39439,0,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.432407427,-0.400925939,1,0,0,1.1795,button_right,1.1795,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.238888823,-0.316666735,1,0,0,1.41137,button_left,1.41137,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.290740758,-0.292592604,1,0,0,1.213485,button_right,1.213485,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,2.771725,0,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,,2.771725
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.561795,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,,0.561795
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.86743,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,,0.86743
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.576851874,0.193518486,1,0,0,1.24657,button_left,1.24657,1,0,3,3,8,1,stimuli/black_5.jpg,,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.330555574,-0.283333345,1,0,0,1.64511,button_right,1.64511,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.330555574,-0.283333345,1,0,0,1.097635,button_right,1.097635,1,0,5,5,1,1,stimuli/white_1.jpg,,l,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.330555574,-0.283333345,1,0,0,1.895505,button_right,1.895505,0,0,6,6,4,1,stimuli/black_3.jpg,,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,0.330555574,-0.283333345,1,0,0,5.901775,button_right,5.901775,0,0,7,7,6,1,stimuli/black_4.jpg,,a,,,,,,,,,
,,,,,,,,,,,,,1,2,001,female,2020-11-26_20h54.34.354,openIAT,2020.1.0rc3,Win32,60,,0,-0.287962954,-0.193518529,1,0,0,2.516635,button_left,2.516635,1,0,8,8,2,1,stimuli/black_2.jpg,,a,,,,,,,,,
