instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.03515625,-0.407552083,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.03515625,-0.407552083,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.477864583,-0.3359375,1,0,0,4.8097,button_left,4.8097,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.354166667,-0.227864583,1,0,0,3.8175,button_left,3.8175,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.3671875,-0.30078125,1,0,0,16.4621,button_right,16.4621,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.298177083,-0.302083333,1,0,0,1.6988,button_left,1.6988,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.307291667,-0.299479167,1,0,0,1.079,button_left,1.079,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.401041667,-0.352864583,1,0,0,4.2615,button_left,4.2615,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.395833333,-0.28125,1,0,0,2.2974,button_right,2.2974,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.28515625,-0.2734375,1,0,0,1.6688,button_right,1.6688,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.2734375,-0.223958333,1,0,0,1.4495,button_right,1.4495,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.2734375,-0.291666667,1,0,0,0.7812,button_left,0.7812,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.25390625,-0.298177083,1,0,0,3.1471,button_right,3.1471,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.31640625,-0.329427083,1,0,0,4.2995,button_left,4.2995,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.31640625,-0.329427083,1,0,0,1.4867,button_left,1.4867,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.31640625,-0.329427083,1,0,0,1.1987,button_left,1.1987,1,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.299479167,-0.348958333,1,0,0,1.3867,button_right,1.3867,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.299479167,-0.348958333,1,0,0,16.8128,button_right,16.8128,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.299479167,-0.348958333,1,0,0,2.7319,button_right,2.7319,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.313802083,-0.33203125,1,0,0,1.1651,button_left,1.1651,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.325520833,-0.311197917,1,0,0,0.8323,button_left,0.8323,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.6875,-0.317708333,1,0,0,1.0156,button_right,1.0156,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.359375,-0.276041667,1,0,0,3.7654,button_right,3.7654,1,0,0,0,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.354166667,-0.295572917,1,0,0,3.2963,button_right,3.2963,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.354166667,-0.295572917,1,0,0,1.5155,button_right,1.5155,0,0,2,2,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.32421875,-0.2890625,1,0,0,1.2487,button_left,1.2487,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.341145833,-0.373697917,1,0,0,1.8818,button_right,1.8818,1,0,4,4,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.315104167,-0.287760417,1,0,0,9.2319,button_left,9.2319,1,0,5,5,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.322916667,-0.325520833,1,0,0,2.1322,button_left,2.1322,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.450520833,-0.341145833,1,0,0,8.8484,button_right,8.8484,1,0,7,7,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.3359375,-0.33984375,1,0,0,1.0153,button_left,1.0153,1,0,8,8,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.319010417,-0.290364583,1,0,0,1.7154,button_left,1.7154,1,0,9,9,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.298177083,-0.321614583,1,0,0,1.832,button_right,1.832,1,0,10,10,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.389322917,-0.309895833,1,0,0,1.0321,button_left,1.0321,1,0,11,11,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.377604167,-0.302083333,1,0,0,0.9152,button_left,0.9152,1,0,12,12,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,-0.41015625,-0.307291667,1,0,0,1.5652,button_left,1.5652,0,0,13,13,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1,2,001,male,2023-04-15_23h10.10.365,openIAT,2020.1.0rc3,Win32,60,,0,0.395833333,-0.255208333,1,0,0,1.916,button_right,1.916,1,0,14,14,1,1,stimuli/white_1.jpg,,l,,,,,,,,
