instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.025,-0.395833333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025,-0.395833333,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,1.513,,,,,,,,1.513,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.592,,,,,,,,0.592,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.571,,,,,,,,0.571,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,0,0.528,,,,,,,,0.528,0,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.841,,,,,,,,0.841,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.631,,,,,,,,0.631,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.53,,,,,,,,0.53,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.577,,,,,,,,0.577,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.397,,,,,,,,0.397,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.428,,,,,,,,0.428,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,0,1.248,,,,,,,,1.248,0,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,0,0.484,,,,,,,,0.484,0,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,1.063,,,,,,,,1.063,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.634,,,,,,,,0.634,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,0,0.749,,,,,,,,0.749,0,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.667,,,,,,,,0.667,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,0,0.565,,,,,,,,0.565,0,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,0,0.425,,,,,,,,0.425,0,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,0,0.601,,,,,,,,0.601,0,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,4.465,,,,,,,,4.465,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.849,,,,,,,,0.849,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,1.252,,,,,,,,1.252,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.831,,,,,,,,0.831,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,1.43,,,,,,,,1.43,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.624,,,,,,,,0.624,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.716,,,,,,,,0.716,1,0,5,5,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.455,,,,,,,,0.455,1,0,6,6,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,0,0.615,,,,,,,,0.615,0,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,1.013,,,,,,,,1.013,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.781,,,,,,,,0.781,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.581,,,,,,,,0.581,1,0,10,10,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.481,,,,,,,,0.481,1,0,11,11,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.859,,,,,,,,0.859,1,0,12,12,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.666,,,,,,,,0.666,1,0,13,13,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.915,,,,,,,,0.915,1,0,14,14,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,0,0.563,,,,,,,,0.563,0,0,15,15,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.582,,,,,,,,0.582,1,0,16,16,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.512,,,,,,,,0.512,1,0,17,17,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.617,,,,,,,,0.617,1,0,18,18,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.599,,,,,,,,0.599,1,0,19,19,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,0,0.818,,,,,,,,0.818,0,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.998,,,,,,,,0.998,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.663,,,,,,,,0.663,1,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.501,,,,,,,,0.501,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.819,,,,,,,,0.819,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.502,,,,,,,,0.502,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,l,1,0.55,,,,,,,,0.55,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,1n,1,001,female,2020-11-09_11h34.03.008,openIAT,2020.1.0rc3,Win32,60,a,1,0.614,,,,,,,,0.614,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
