instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.021461643,-0.351563123,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.026271929,-0.350545704,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.3573543,-0.240740095,1,0,0,1.3097,button_left,1.3097,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.381776148,-0.226401317,1,0,0,1.1009,button_right,1.1009,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.349028669,-0.196614044,1,0,0,0.9638,button_left,0.9638,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.396669847,-0.157206134,1,0,0,1.15,button_right,1.15,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.33922292,-0.173579998,1,0,0,0.7785,button_right,0.7785,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.356059187,-0.199666798,1,0,0,1.3462,button_left,1.3462,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.370952801,-0.211322769,1,0,0,1.4452,button_left,1.4452,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,2020meb1324,1,001,male,2023-03-15_22h35.12.341,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.376133199,-0.211045246,1,0,0,2.6073,button_left,2.6073,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
