instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.002256944,-0.404036458,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.03187934,-0.39890625,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.39029,,,,,,,,1.39029,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.672355,,,,,,,,0.672355,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.72921,,,,,,,,1.72921,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.929615,,,,,,,,0.929615,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.64272,,,,,,,,0.64272,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9614,,,,,,,,0.9614,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.74541,,,,,,,,0.74541,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.750635,,,,,,,,0.750635,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.53389,,,,,,,,0.53389,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.814295,,,,,,,,0.814295,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.946945,,,,,,,,1.946945,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.017545,,,,,,,,1.017545,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.612255,,,,,,,,1.612255,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.87954,,,,,,,,0.87954,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.78422,,,,,,,,0.78422,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.78264,,,,,,,,0.78264,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,3505,1,001,female,2020-09-27_23h13.51.780,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.89876,,,,,,,,0.89876,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
