instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.016789435,-0.384676339,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
-0.015111607,-0.359237351,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.1424,,,,,,,,3.1424,1,0,0,0,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.6632,,,,,,,,1.6632,1,0,1,1,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0932,,,,,,,,1.0932,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.3327,,,,,,,,1.3327,0,0,3,3,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,l,1,3.1325,,,,,,,,3.1325,1,0,4,4,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8106,,,,,,,,0.8106,1,0,5,5,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4157,,,,,,,,0.4157,1,0,6,6,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,3,2,005,male,2023-09-28_19h46.33.201,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.5269,,,,,,,,0.5269,0,0,7,7,5,1,stimuli/blank.png,Agony,l
