instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.112962963,-0.172222222,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.112962963,-0.172222222,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.422222222,-0.344444444,1,0,0,4.8966,button_left,4.8966,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.347222222,-0.280555556,1,0,0,1.1155,button_right,1.1155,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.313888889,-0.287962963,1,0,0,13.066,button_left,13.066,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.425,-0.27037037,1,0,0,1.1492,button_right,1.1492,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.239814815,-0.303703704,1,0,0,1.3322,button_left,1.3322,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.476851852,-0.311111111,1,0,0,0.9492,button_right,0.9492,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.47037037,-0.311111111,1,0,0,0.7324,button_right,0.7324,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.506481481,-0.317592593,1,0,0,1.1993,button_left,1.1993,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.419444444,-0.280555556,1,0,0,0.7182,button_left,0.7182,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.213888889,-0.327777778,1,0,0,1.5362,button_right,1.5362,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.453703704,-0.317592593,1,0,0,2.3493,button_right,2.3493,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.364814815,-0.352777778,1,0,0,2.1363,button_left,2.1363,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.364814815,-0.352777778,1,0,0,0.8988,button_left,0.8988,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.37037037,-0.300925926,1,0,0,1.1325,button_right,1.1325,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.432407407,-0.296296296,1,0,0,1.8827,button_right,1.8827,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.22037037,-0.357407407,1,0,0,1.4992,button_left,1.4992,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,0.493518519,-0.183333333,1,0,0,1.6492,button_right,1.6492,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,4,1,001,female,2022-01-08_18h37.23.310,openIAT,2020.1.0rc3,Win32,60,,0,-0.351851852,-0.385185185,1,0,0,1.7826,button_left,1.7826,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
