instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0,-0.400925954,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,
0,-0.400925954,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,0.405555556,-0.264814843,1,0,0,1.7429,button_right,1.7429,0,0,0,0,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,-0.287962935,-0.267592621,1,0,0,1.0642,button_left,1.0642,1,0,1,1,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,-0.274074046,-0.270370399,1,0,0,0.8974,button_left,0.8974,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,-0.274074046,-0.270370399,1,0,0,0.8319,button_left,0.8319,1,0,3,3,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,0.453703732,-0.246296353,1,0,0,0.7981,button_right,0.7981,1,0,4,4,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,0.4,-0.262037065,1,0,0,0.7002,button_right,0.7002,1,0,5,5,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,0.262661991,-0.310365171,1,0,0,2.3464,button_right,2.3464,0,0,6,6,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,-0.312131902,-0.336278046,1,0,0,0.7174,button_left,0.7174,0,0,7,7,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,90,1,001,male,2022-12-08_13h19.04.387,openIAT,2020.1.0rc3,Win32,60,,0,0.399293286,-0.29034165,1,0,0,0.529,button_right,0.529,1,0,8,8,5,1,stimuli/blank.png,Agony,l
