instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.08148151,-0.402777805,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000028,-0.380555582,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.593825,,,,,,,,0.593825,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.61877,,,,,,,,0.61877,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.514995,,,,,,,,0.514995,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.67239,,,,,,,,0.67239,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.60064,,,,,,,,0.60064,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.612265,,,,,,,,0.612265,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.521905,,,,,,,,0.521905,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,0,0.494545,,,,,,,,0.494545,0,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.60499,,,,,,,,0.60499,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.63148,,,,,,,,0.63148,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.75558,,,,,,,,0.75558,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.66155,,,,,,,,0.66155,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.57992,,,,,,,,0.57992,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.605175,,,,,,,,0.605175,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.70602,,,,,,,,0.70602,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.60066,,,,,,,,0.60066,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.524475,,,,,,,,0.524475,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.5119,,,,,,,,0.5119,1,0,7,7,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,0,0.51101,,,,,,,,0.51101,0,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.49498,,,,,,,,0.49498,1,0,9,9,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,1.40294,,,,,,,,1.40294,1,0,0,0,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.688285,,,,,,,,0.688285,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,l,1,0.527455,,,,,,,,0.527455,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AB_01,1,001,male,2020-11-07_10h19.53.502,openIAT,2020.1.0rc3,Win32,60,a,1,0.70324,,,,,,,,0.70324,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
