instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.007903646,-0.377521701,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.007903646,-0.377521701,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,3.12008,,,,,,,,3.12008,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.70674,,,,,,,,1.70674,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.36646,,,,,,,,1.36646,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.283355,,,,,,,,1.283355,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.055695,,,,,,,,1.055695,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.38553,,,,,,,,1.38553,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.55076,,,,,,,,1.55076,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.44139,,,,,,,,1.44139,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.305325,,,,,,,,1.305325,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.155215,,,,,,,,1.155215,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.519185,,,,,,,,1.519185,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.93383,,,,,,,,0.93383,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,AK,1,001,female,2020-07-20_16h23.12.350,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.78656,,,,,,,,0.78656,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
