instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.114814801,-0.395370483,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06851849,-0.417592706,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.399074131,-0.330555556,1,0,0,0.283,button_right,0.283,0,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.361111111,-0.343518575,1,0,0,1.1796,button_left,1.1796,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.341666667,-0.296296353,1,0,0,0.8692,button_left,0.8692,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.338888889,-0.325,1,0,0,1.0615,button_right,1.0615,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.337037065,-0.337963019,1,0,0,0.9599,button_right,0.9599,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.337963019,-0.333333333,1,0,0,0.692,button_right,0.692,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.336111111,-0.36203715,1,0,0,0.5808,button_right,0.5808,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.341666667,-0.335185242,1,0,0,0.5936,button_left,0.5936,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.346296289,-0.318518575,1,0,0,0.7988,button_left,0.7988,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.334259256,-0.323148176,1,0,0,0.7963,button_left,0.7963,0,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,A,2,001,female,2020-08-07_11h52.07.387,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
