instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.04537037,-0.409259259,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04537037,-0.409259259,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,5.0002,,,,,,,,5.0002,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,1.5938,,,,,,,,1.5938,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,1.1345,,,,,,,,1.1345,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,1.0149,,,,,,,,1.0149,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.6468,,,,,,,,0.6468,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.6881,,,,,,,,0.6881,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,2.1996,,,,,,,,2.1996,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.698,,,,,,,,0.698,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.9647,,,,,,,,0.9647,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.681,,,,,,,,0.681,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,0,3.797,,,,,,,,3.797,0,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,0,1.4058,,,,,,,,1.4058,0,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,1.2828,,,,,,,,1.2828,1,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,1.3661,,,,,,,,1.3661,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,3.0502,,,,,,,,3.0502,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.9301,,,,,,,,0.9301,1,0,5,5,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,2.349,,,,,,,,2.349,1,0,6,6,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.901,,,,,,,,0.901,1,0,7,7,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.9157,,,,,,,,0.9157,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,1.4809,,,,,,,,1.4809,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,7.2798,,,,,,,,7.2798,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,2.147,,,,,,,,2.147,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.832,,,,,,,,0.832,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,1.9991,,,,,,,,1.9991,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,1.3492,,,,,,,,1.3492,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,0,2.7655,,,,,,,,2.7655,0,0,5,5,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.7826,,,,,,,,0.7826,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,0.8979,,,,,,,,0.8979,1,0,7,7,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,3.133,,,,,,,,3.133,1,0,8,8,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,1,1.5818,,,,,,,,1.5818,1,0,9,9,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,0,0.4319,,,,,,,,0.4319,0,0,10,10,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,0,0.5696,,,,,,,,0.5696,0,0,11,11,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.5146,,,,,,,,0.5146,1,0,12,12,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.5802,,,,,,,,0.5802,1,0,13,13,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.8259,,,,,,,,0.8259,1,0,14,14,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,l,1,0.5613,,,,,,,,0.5613,1,0,15,15,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,0,1.0658,,,,,,,,1.0658,0,0,16,16,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Abu,2,001,male,2022-03-17_14h43.42.015,openIAT,2020.1.0rc3,Win32,60,a,0,0.9473,,,,,,,,0.9473,0,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
