instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.064814815,-0.389814801,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.469444416,-0.12037037,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,0,1.3016,,,,,,,,1.3016,0,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,1.7677,,,,,,,,1.7677,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,0,0.9952,,,,,,,,0.9952,0,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.7468,,,,,,,,0.7468,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.7881,,,,,,,,0.7881,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.8664,,,,,,,,0.8664,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,1.1379,,,,,,,,1.1379,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,1.0081,,,,,,,,1.0081,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,0,0.9444,,,,,,,,0.9444,0,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,1.1169,,,,,,,,1.1169,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,1.0666,,,,,,,,1.0666,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.7096,,,,,,,,0.7096,1,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.785,,,,,,,,0.785,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.6665,,,,,,,,0.6665,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.7106,,,,,,,,0.7106,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.7834,,,,,,,,0.7834,1,0,5,5,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.5833,,,,,,,,0.5833,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.6,,,,,,,,0.6,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,1.1623,,,,,,,,1.1623,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.9523,,,,,,,,0.9523,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,1.0374,,,,,,,,1.0374,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.9096,,,,,,,,0.9096,1,0,1,1,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.7074,,,,,,,,0.7074,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,1.1867,,,,,,,,1.1867,1,0,3,3,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.6533,,,,,,,,0.6533,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.7332,,,,,,,,0.7332,1,0,5,5,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.3967,,,,,,,,0.3967,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.5276,,,,,,,,0.5276,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,a,1,0.6682,,,,,,,,0.6682,1,0,8,8,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Ale,1,001,male,2023-11-26_22h07.13.199,openIAT,2020.1.0rc3,Win32,60,l,1,0.7498,,,,,,,,0.7498,1,0,9,9,15,1,stimuli/blank.png,Agony,l,,,,,,,,
