instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.014595715,-0.396175188,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014595715,-0.396175188,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.328,,,,,,,,2.328,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.111,,,,,,,,2.111,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7143,,,,,,,,0.7143,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7094,,,,,,,,0.7094,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.728,,,,,,,,0.728,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.731,,,,,,,,0.731,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7947,,,,,,,,0.7947,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.6982,,,,,,,,1.6982,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8269,,,,,,,,0.8269,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7299,,,,,,,,0.7299,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.562,,,,,,,,3.562,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,6.6585,,,,,,,,6.6585,1,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.0278,,,,,,,,2.0278,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7271,,,,,,,,0.7271,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7291,,,,,,,,0.7291,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9172,,,,,,,,0.9172,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6117,,,,,,,,0.6117,1,0,6,6,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6004,,,,,,,,0.6004,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9453,,,,,,,,0.9453,1,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6443,,,,,,,,0.6443,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.4287,,,,,,,,1.4287,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.3927,,,,,,,,1.3927,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9788,,,,,,,,0.9788,1,0,2,2,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8944,,,,,,,,0.8944,1,0,3,3,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7969,,,,,,,,0.7969,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7981,,,,,,,,0.7981,1,0,5,5,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6975,,,,,,,,0.6975,1,0,6,6,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0987,,,,,,,,1.0987,1,0,7,7,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.1601,,,,,,,,2.1601,1,0,8,8,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6267,,,,,,,,0.6267,1,0,9,9,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8665,,,,,,,,0.8665,1,0,10,10,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6916,,,,,,,,0.6916,1,0,11,11,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8902,,,,,,,,0.8902,1,0,12,12,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6762,,,,,,,,0.6762,1,0,13,13,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6424,,,,,,,,0.6424,1,0,14,14,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8913,,,,,,,,0.8913,1,0,15,15,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6275,,,,,,,,0.6275,1,0,16,16,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6273,,,,,,,,0.6273,1,0,17,17,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7097,,,,,,,,0.7097,1,0,18,18,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7326,,,,,,,,0.7326,1,0,19,19,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7937,,,,,,,,0.7937,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7339,,,,,,,,0.7339,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.677,,,,,,,,0.677,1,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8253,,,,,,,,0.8253,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6175,,,,,,,,0.6175,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6286,,,,,,,,0.6286,1,0,5,5,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6194,,,,,,,,0.6194,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.899,,,,,,,,0.899,1,0,7,7,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5778,,,,,,,,0.5778,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5505,,,,,,,,0.5505,1,0,9,9,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,0,2.9836,,,,,,,,2.9836,0,0,0,0,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,5.2806,,,,,,,,5.2806,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,0,3.8798,,,,,,,,3.8798,0,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.4621,,,,,,,,1.4621,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Anton,1,001,male,2023-03-16_14h58.38.656,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.7017,,,,,,,,1.7017,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
