instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.089854194,-0.389560954,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04682312,-0.379662069,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.2162,,,,,,,,1.2162,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.349,,,,,,,,0.349,0,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0502,,,,,,,,1.0502,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.832,,,,,,,,0.832,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7366,,,,,,,,0.7366,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7158,,,,,,,,0.7158,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6139,,,,,,,,0.6139,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6321,,,,,,,,0.6321,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6201,,,,,,,,0.6201,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.5325,,,,,,,,0.5325,0,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,0,3.696,,,,,,,,3.696,0,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.5155,,,,,,,,1.5155,0,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.7147,,,,,,,,1.7147,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0281,,,,,,,,1.0281,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8618,,,,,,,,0.8618,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.1439,,,,,,,,1.1439,0,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9079,,,,,,,,0.9079,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8156,,,,,,,,0.8156,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.3445,,,,,,,,1.3445,1,0,8,8,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Anzilah,1,001,female,2022-11-03_11h46.22.083,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.1273,,,,,,,,1.1273,1,0,9,9,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
