instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.068518533,-0.40648151,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073148176,-0.370370399,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,0.35,-0.325925954,1,0,0,1.2124,button_right,1.2124,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.263888889,-0.317592621,1,0,0,1.0823,button_left,1.0823,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.264814801,-0.317592621,1,0,0,0.998,button_left,0.998,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.267592578,-0.312037065,1,0,0,0.9711,button_left,0.9711,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,0.330555556,-0.317592621,1,0,0,1.0012,button_right,1.0012,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.290740734,-0.295370399,1,0,0,0.7967,button_left,0.7967,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.283333333,-0.3,1,0,0,0.8328,button_left,0.8328,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,0.355555556,-0.287963019,1,0,0,0.7986,button_right,0.7986,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,0.325925954,-0.316666667,1,0,0,1.2594,button_right,1.2594,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,0.318518575,-0.314814843,1,0,0,0.799,button_right,0.799,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,0.352777778,-0.312963019,1,0,0,1.3738,button_right,1.3738,0,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.287962956,-0.304629686,1,0,0,1.3416,button_left,1.3416,0,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,China,1,009,male,2021-06-09_18h07.53.512,openIAT,2020.1.0rc3,Linux armv7l,60,,0,-0.007407379,0.020370314,1,0,0,2.2271,button_right,2.2271,0,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
