instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.110677083,-0.377604167,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029947917,-0.39453125,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,2.117,,,,,,,,2.117,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,1.2958,,,,,,,,1.2958,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.714,,,,,,,,0.714,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7346,,,,,,,,0.7346,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7335,,,,,,,,0.7335,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.8096,,,,,,,,0.8096,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.5984,,,,,,,,0.5984,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.6797,,,,,,,,0.6797,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.7263,,,,,,,,0.7263,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7143,,,,,,,,0.7143,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,4.417,,,,,,,,4.417,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,3.0562,,,,,,,,3.0562,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,1.158,,,,,,,,1.158,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.9052,,,,,,,,0.9052,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.6948,,,,,,,,0.6948,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7319,,,,,,,,0.7319,1,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7991,,,,,,,,0.7991,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.6403,,,,,,,,0.6403,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.5831,,,,,,,,0.5831,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,1.019,,,,,,,,1.019,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.8559,,,,,,,,0.8559,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7812,,,,,,,,0.7812,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.5715,,,,,,,,0.5715,1,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.9997,,,,,,,,0.9997,1,0,3,3,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.7225,,,,,,,,0.7225,1,0,4,4,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.9817,,,,,,,,0.9817,1,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.635,,,,,,,,0.635,1,0,6,6,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.556,,,,,,,,0.556,1,0,7,7,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.6722,,,,,,,,0.6722,1,0,8,8,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.6799,,,,,,,,0.6799,1,0,9,9,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,l,1,0.5562,,,,,,,,0.5562,1,0,10,10,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,DR. BANDANA,1,001,female,2023-09-09_20h50.21.758,openIAT,2020.1.0rc3,Win32,60,a,1,0.5722,,,,,,,,0.5722,1,0,11,11,16,1,stimuli/blank.png,Love,a,,,,,,,,
