instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.003703704,-0.424074074,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002777778,-0.391666667,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.921,,,,,,,,1.921,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.725,,,,,,,,0.725,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.188,,,,,,,,1.188,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.665,,,,,,,,0.665,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.628,,,,,,,,0.628,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.624,,,,,,,,0.624,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.504,,,,,,,,0.504,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.667,,,,,,,,0.667,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.606,,,,,,,,0.606,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.567,,,,,,,,0.567,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,D,1,001,female,2021-03-31_11h40.57.257,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.417,,,,,,,,1.417,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
