instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.050370348,-0.400000092,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.018148169,-0.400000092,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,2.34569,,,,,,,,2.34569,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,a,1,1.155745,,,,,,,,1.155745,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,1.18853,,,,,,,,1.18853,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,a,1,0.84194,,,,,,,,0.84194,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,a,1,0.82422,,,,,,,,0.82422,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,a,1,0.666735,,,,,,,,0.666735,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,0.68825,,,,,,,,0.68825,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,0.790545,,,,,,,,0.790545,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,a,1,0.750195,,,,,,,,0.750195,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,1.07164,,,,,,,,1.07164,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,3.481555,,,,,,,,3.481555,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,1.7397,,,,,,,,1.7397,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,1.16011,,,,,,,,1.16011,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,l,1,1.376555,,,,,,,,1.376555,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Dana,1,001,female,2020-08-30_15h04.55.894,openIAT,2020.1.0rc3,Win32,60,a,1,1.28079,,,,,,,,1.28079,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
