instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.017002057,-0.402267029,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.013532294,-0.410594523,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.335299562,-0.354152223,1,0,0,1.7765,button_left,1.7765,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.353805222,-0.362479872,1,0,0,1.3706,button_left,1.3706,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.398450157,-0.297709924,1,0,0,1.0636,button_right,1.0636,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.337150127,-0.368031431,1,0,0,0.9871,button_left,0.9871,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.339000692,-0.362479872,1,0,0,0.8185,button_left,0.8185,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.356812455,-0.296784612,1,0,0,1.3707,button_right,1.3707,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.327897283,-0.319916781,1,0,0,0.961,button_left,0.961,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Demoo,2,001,male,2022-07-10_05h57.36.958,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.366990572,-0.300485858,1,0,0,0.8628,button_right,0.8628,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
