instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.044270833,-0.420572917,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.420572917,0.044270833,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,8.681,,,,,,,,8.681,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.981,,,,,,,,1.981,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.975,,,,,,,,1.975,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.915,,,,,,,,1.915,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.394,,,,,,,,1.394,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,2.37,,,,,,,,2.37,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,a,0,1.421,,,,,,,,1.421,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Denis,2,001,male,2022-04-30_12h34.27.538,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,3.471,,,,,,,,3.471,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
