instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
-0.022222222,-0.382222222,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0.014444444,-0.412222222,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.396,,,,,,,,1.396,1,0,0,0,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.581,,,,,,,,1.581,1,0,1,1,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.247,,,,,,,,1.247,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.084,,,,,,,,1.084,1,0,3,3,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.073,,,,,,,,1.073,1,0,4,4,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.766,,,,,,,,0.766,1,0,5,5,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.019,,,,,,,,1.019,1,0,6,6,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,Ekin,1,001,male,2021-05-03_16h53.08.102,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.978,,,,,,,,0.978,1,0,7,7,1,1,stimuli/blank.png,Bad,l
