instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.024074048,-0.384259286,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.058333362,-0.39629638,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,1.241,,,,,,,,1.241,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,1.3767,,,,,,,,1.3767,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,1.6439,,,,,,,,1.6439,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,0.672,,,,,,,,0.672,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,0.7245,,,,,,,,0.7245,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,0.5892,,,,,,,,0.5892,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,0.6558,,,,,,,,0.6558,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,0.7258,,,,,,,,0.7258,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,0.607,,,,,,,,0.607,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,0.8005,,,,,,,,0.8005,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,3.3397,,,,,,,,3.3397,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,1.5345,,,,,,,,1.5345,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,a,1,1.2742,,,,,,,,1.2742,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,0.7671,,,,,,,,0.7671,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ester,1,001,female,2022-05-23_17h42.24.197,openIAT,2020.1.0rc3,Win32,60,l,1,0.6411,,,,,,,,0.6411,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
