instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.027099943,-0.437702364,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.114137261,-0.416031032,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.353794653,-0.28275262,1,0,0,2.2126,button_right,2.2126,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.360057646,-0.306049236,1,0,0,1.6671,button_left,1.6671,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.364765723,-0.305507475,1,0,0,1.0718,button_right,1.0718,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.333483224,-0.265957286,1,0,0,1.2119,button_left,1.2119,0,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.33087736,-0.304965566,1,0,0,2.6659,button_right,2.6659,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.362251865,-0.280585428,1,0,0,1.7601,button_left,1.7601,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.349406196,-0.278418235,1,0,0,1.5055,button_right,1.5055,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.332995628,-0.270291523,1,0,0,0.8834,button_left,0.8834,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.29203689,-0.283294381,1,0,0,0.9055,button_left,0.9055,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.342016294,-0.283294381,1,0,0,1.0235,button_left,1.0235,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.34257974,-0.299547807,1,0,0,7.8505,button_right,7.8505,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.331121056,-0.280585428,1,0,0,1.4453,button_right,1.4453,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.328195442,-0.289253902,1,0,0,0.833,button_right,0.833,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.379561804,-0.326636898,1,0,0,0.9696,button_left,0.9696,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.381268418,-0.327178659,1,0,0,0.9835,button_left,0.9835,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.361520452,-0.368895892,1,0,0,1.0393,button_left,1.0393,1,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.379561804,-0.333680088,1,0,0,1.4048,button_left,1.4048,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.345429522,-0.307132758,1,0,0,1.1588,button_left,1.1588,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.358670725,-0.274083999,1,0,0,0.6414,button_right,0.6414,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.368422869,-0.283294381,1,0,0,1.8908,button_right,1.8908,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.316417083,-0.332596566,1,0,0,1.1455,button_left,1.1455,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.326656767,-0.28275262,1,0,0,1.6658,button_left,1.6658,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Fateme,1,001,female,2022-08-07_15h41.32.152,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.310641687,-0.297922523,1,0,0,1.1488,button_right,1.1488,1,0,2,2,15,1,stimuli/blank.png,Agony,l,,,,,,,,
