instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.052942961,-0.386774748,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.00483811,-0.434993411,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.393290622,-0.318510185,1,0,0,0.046,button_right,0.046,0,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.373298793,-0.359143896,1,0,0,0.0675,button_right,0.0675,0,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.348431041,-0.293046377,1,0,0,0.0576,button_right,0.0576,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.325757517,-0.303340282,1,0,0,0.0543,button_right,0.0543,0,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.343311199,-0.290879333,1,0,0,0.0581,button_right,0.0581,0,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.340873126,-0.288170379,1,0,0,0.063,button_right,0.063,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.330389671,-0.27570943,1,0,0,0.0714,button_right,0.0714,0,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.345261583,-0.261081288,1,0,0,0.1248,button_right,0.1248,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.340629355,-0.300631329,1,0,0,0.1276,button_right,0.1276,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.352331884,-0.26866624,1,0,0,0.206,button_right,0.206,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Fhjgdd,2,001,male,2022-08-08_20h58.29.544,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.310397991,-0.247536668,1,0,0,0.1947,button_right,0.1947,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
