instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.033532986,-0.433151042,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120633681,-0.369557292,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.92541,,,,,,,,1.92541,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.26682,,,,,,,,1.26682,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.89996,,,,,,,,0.89996,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.82812,,,,,,,,0.82812,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.710185,,,,,,,,0.710185,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.797225,,,,,,,,0.797225,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.652705,,,,,,,,0.652705,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,GabGamab,2,001,female,2020-11-02_08h31.46.972,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.83373,,,,,,,,0.83373,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
