instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.017592607,-0.386111153,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.032407407,-0.420370384,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,0,1.1037,,,,,,,,1.1037,0,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,0,0.5279,,,,,,,,0.5279,0,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,l,1,0.921,,,,,,,,0.921,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,l,1,0.9512,,,,,,,,0.9512,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,1,0.8767,,,,,,,,0.8767,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,1,0.6594,,,,,,,,0.6594,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,1,0.6009,,,,,,,,0.6009,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,1,0.5777,,,,,,,,0.5777,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,a,1,0.5097,,,,,,,,0.5097,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,l,1,0.635,,,,,,,,0.635,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Hans Wessel,1,001,male,2022-09-21_10h31.50.037,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
