instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.055555556,-0.392592593,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000925926,-0.411111111,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,-0.403703704,-0.314814815,1,0,0,1.8018,button_left,1.8018,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,-0.403703704,-0.314814815,1,0,0,1.4599,button_left,1.4599,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,0.437037037,-0.302777778,1,0,0,1.7686,button_right,1.7686,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,0.437037037,-0.302777778,1,0,0,1.6888,button_right,1.6888,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,0.437037037,-0.302777778,1,0,0,0.8878,button_right,0.8878,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,-0.373148148,-0.314814815,1,0,0,1.2414,button_left,1.2414,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,0.372222222,-0.302777778,1,0,0,3.8924,button_right,3.8924,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_123,2,002,female,2022-05-25_15h13.31.064,openIAT,2020.1.0rc3,Win32,60,,0,0.372222222,-0.302777778,1,0,0,1.1801,button_right,1.1801,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
