instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0,-0.394444444,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.026851852,-0.401851852,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,l,1,2.3655,,,,,,,,2.3655,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,l,1,1.0208,,,,,,,,1.0208,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,l,1,1.1669,,,,,,,,1.1669,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,a,1,0.8633,,,,,,,,0.8633,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,a,1,0.6465,,,,,,,,0.6465,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,l,1,0.8899,,,,,,,,0.8899,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,l,1,0.7376,,,,,,,,0.7376,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,a,1,0.6428,,,,,,,,0.6428,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,a,1,1.2586,,,,,,,,1.2586,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,a,1,0.6819,,,,,,,,0.6819,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,IMERYS_333,2,001,female,2022-05-25_15h14.34.437,openIAT,2020.1.0rc3,Win32,60,a,1,1.2103,,,,,,,,1.2103,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
