instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.091666681,-0.368518547,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091666681,-0.368518547,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,1,1.2823,,,,,,,,1.2823,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,0.7831,,,,,,,,0.7831,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,1,0.5513,,,,,,,,0.5513,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,0.671,,,,,,,,0.671,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,1,0.5107,,,,,,,,0.5107,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,0.4668,,,,,,,,0.4668,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,0,0.3661,,,,,,,,0.3661,0,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,1,0.5046,,,,,,,,0.5046,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,0.4378,,,,,,,,0.4378,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,1,0.4759,,,,,,,,0.4759,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,1.9063,,,,,,,,1.9063,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,a,1,0.8491,,,,,,,,0.8491,1,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,0.7544,,,,,,,,0.7544,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,IO,1,001,male,2022-12-01_06h43.40.253,openIAT,2020.1.0rc3,Win32,60,l,1,0.4652,,,,,,,,0.4652,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
