instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.009114583,-0.420572917,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009114583,-0.421875,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,2.045145,,,,,,,,2.045145,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,1.127255,,,,,,,,1.127255,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,1.191965,,,,,,,,1.191965,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,1.998135,,,,,,,,1.998135,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,0.827175,,,,,,,,0.827175,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,1.247175,,,,,,,,1.247175,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,0.89899,,,,,,,,0.89899,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,0.650735,,,,,,,,0.650735,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,0.780155,,,,,,,,0.780155,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,0.982365,,,,,,,,0.982365,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,1.80581,,,,,,,,1.80581,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,1.44056,,,,,,,,1.44056,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,l,1,1.19188,,,,,,,,1.19188,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Ilgın Ertan,1,001,female,2020-09-30_02h27.02.986,openIAT,2020.1.0rc3,Win32,60,a,1,1.058935,,,,,,,,1.058935,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
