instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.072222222,-0.415555556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.072222222,-0.415555556,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.561,,,,,,,,1.561,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.958,,,,,,,,0.958,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.846,,,,,,,,0.846,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.742,,,,,,,,0.742,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.64,,,,,,,,0.64,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.744,,,,,,,,0.744,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.797,,,,,,,,0.797,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.709,,,,,,,,0.709,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.893,,,,,,,,0.893,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Isa,2,001,female,2024-04-23_15h34.42.606,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.739,,,,,,,,0.739,0,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
