instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.013888889,-0.393518519,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.005555556,-0.400925926,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.747,,,,,,,,1.747,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.054,,,,,,,,1.054,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.748,,,,,,,,0.748,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.579,,,,,,,,0.579,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.519,,,,,,,,0.519,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.516,,,,,,,,0.516,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.737,,,,,,,,0.737,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.806,,,,,,,,0.806,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.735,,,,,,,,0.735,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.596,,,,,,,,1.596,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.765,,,,,,,,1.765,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.349,,,,,,,,1.349,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.353,,,,,,,,1.353,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.89,,,,,,,,0.89,1,0,3,3,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.566,,,,,,,,1.566,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.048,,,,,,,,1.048,1,0,5,5,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.73,,,,,,,,0.73,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.848,,,,,,,,0.848,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.082,,,,,,,,1.082,1,0,8,8,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,2.25,,,,,,,,2.25,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.081,,,,,,,,1.081,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.931,,,,,,,,0.931,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.731,,,,,,,,0.731,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.878,,,,,,,,0.878,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.73,,,,,,,,0.73,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.664,,,,,,,,0.664,1,0,5,5,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.763,,,,,,,,0.763,1,0,6,6,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.566,,,,,,,,1.566,1,0,7,7,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.778,,,,,,,,0.778,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.897,,,,,,,,0.897,1,0,9,9,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.664,,,,,,,,0.664,1,0,10,10,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,0.589,,,,,,,,0.589,1,0,11,11,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.497,,,,,,,,1.497,1,0,12,12,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.662,,,,,,,,0.662,1,0,13,13,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,0,0.553,,,,,,,,0.553,0,0,14,14,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.314,,,,,,,,1.314,1,0,15,15,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.963,,,,,,,,0.963,1,0,16,16,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,1.355,,,,,,,,1.355,1,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.862,,,,,,,,0.862,1,0,18,18,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,l,1,0.728,,,,,,,,0.728,1,0,19,19,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,,JAG,2,001,male,2021-12-14_12h22.50.728,openIAT,2020.1.0rc3,Win32,60,a,1,1.564,,,,,,,,1.564,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
