instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.05,-0.360204082,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.054081633,-0.390816327,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.369387755,-0.279591837,1,0,0,1.07,button_right,1.07,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.385714286,-0.339795918,1,0,0,0.988,button_right,0.988,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.242857143,-0.323469388,1,0,0,0.854,button_left,0.854,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.312244898,-0.293877551,1,0,0,0.887,button_right,0.887,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.366326531,-0.319387755,1,0,0,0.754,button_left,0.754,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.282653061,-0.309183673,1,0,0,0.921,button_left,0.921,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.291836735,-0.346938776,1,0,0,1.522,button_left,1.522,0,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.323469388,-0.357142857,1,0,0,0.887,button_left,0.887,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.263265306,-0.325510204,1,0,0,0.956,button_left,0.956,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.341836735,-0.3,1,0,0,0.653,button_right,0.653,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.344897959,-0.302040816,1,0,0,1.938,button_right,1.938,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.347959184,-0.360204082,1,0,0,0.821,button_right,0.821,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,0.313265306,-0.321428571,1,0,0,1.056,button_right,1.056,0,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.302040816,-0.324489796,1,0,0,1.005,button_left,1.005,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.306122449,-0.323469388,1,0,0,1.088,button_left,1.088,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Jj,1,001,male,2024-03-26_10h50.27.385,openIAT,2020.1.0rc3,iPhone,60,,0,-0.326530612,-0.379591837,1,0,0,0.871,button_left,0.871,1,0,5,5,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
