instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.059259273,-0.408333319,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059259273,-0.408333319,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.813,,,,,,,,1.813,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.5416,,,,,,,,0.5416,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.5241,,,,,,,,0.5241,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.8007,,,,,,,,0.8007,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.6692,,,,,,,,1.6692,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.6836,,,,,,,,0.6836,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.6956,,,,,,,,0.6956,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.7465,,,,,,,,1.7465,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.5417,,,,,,,,0.5417,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.9605,,,,,,,,0.9605,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,2.8946,,,,,,,,2.8946,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,2.1577,,,,,,,,2.1577,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.817,,,,,,,,1.817,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.3069,,,,,,,,1.3069,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,1.2184,,,,,,,,1.2184,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.8215,,,,,,,,0.8215,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,l,1,0.9673,,,,,,,,0.9673,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.6599,,,,,,,,0.6599,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,0.5685,,,,,,,,0.5685,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.3332,,,,,,,,1.3332,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Joaquin Cuba,1,001,male,2023-04-01_08h29.56.065,openIAT,2020.1.0rc3,Win32,60,a,1,1.2356,,,,,,,,1.2356,1,0,0,0,16,1,stimuli/blank.png,Love,a,,,,,,,,
