instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.043062201,-0.380382775,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.014354067,-0.378787879,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,a,1,1.8948,,,,,,,,1.8948,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,a,1,0.6528,,,,,,,,0.6528,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,1,0.6121,,,,,,,,0.6121,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,1,0.7137,,,,,,,,0.7137,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,1,0.5221,,,,,,,,0.5221,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,a,1,0.509,,,,,,,,0.509,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,1,0.4729,,,,,,,,0.4729,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,a,1,0.5222,,,,,,,,0.5222,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,1,0.5231,,,,,,,,0.5231,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,a,1,0.5271,,,,,,,,0.5271,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,0,1.1922,,,,,,,,1.1922,0,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Julia,2,001,female,2023-01-10_13h48.46.678,openIAT,2020.1.0rc3,Win32,60,l,0,0.9627,,,,,,,,0.9627,0,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
