instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.067708333,-0.372395833,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.061197917,-0.37890625,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,3.0847,,,,,,,,3.0847,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,2.0954,,,,,,,,2.0954,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,1.3572,,,,,,,,1.3572,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,1.2767,,,,,,,,1.2767,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,1.0966,,,,,,,,1.0966,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,0,1.0689,,,,,,,,1.0689,0,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,1.2944,,,,,,,,1.2944,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,0.9234,,,,,,,,0.9234,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,0.7561,,,,,,,,0.7561,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,0.9639,,,,,,,,0.9639,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,3.2648,,,,,,,,3.2648,1,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,1.8624,,,,,,,,1.8624,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,1.5919,,,,,,,,1.5919,1,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,1.7526,,,,,,,,1.7526,1,0,3,3,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,1.4026,,,,,,,,1.4026,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,1.1436,,,,,,,,1.1436,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,1.1317,,,,,,,,1.1317,1,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,0.8966,,,,,,,,0.8966,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,l,1,0.8259,,,,,,,,0.8259,1,0,8,8,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,0.7334,,,,,,,,0.7334,1,0,9,9,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,Jus de Pierre,2,001,female,2022-10-04_11h06.58.113,openIAT,2020.1.0rc3,Win32,60,a,1,2.0563,,,,,,,,2.0563,1,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
