instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.034259302,-0.39907406,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.034259302,-0.39907406,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,0,1.0924,,,,,,,,1.0924,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,1,1.007,,,,,,,,1.007,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,1,0.8875,,,,,,,,0.8875,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,1,0.7287,,,,,,,,0.7287,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,0,0.4279,,,,,,,,0.4279,0,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,1,0.189,,,,,,,,0.189,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,1,0.66,,,,,,,,0.66,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,1,0.3407,,,,,,,,0.3407,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,0,0.6935,,,,,,,,0.6935,0,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,0,2.791,,,,,,,,2.791,0,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,0,0.6506,,,,,,,,0.6506,0,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,1,0.4811,,,,,,,,0.4811,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,1,0.8587,,,,,,,,0.8587,1,0,2,2,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,1,0.3308,,,,,,,,0.3308,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,0,0.3562,,,,,,,,0.3562,0,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,0,0.3474,,,,,,,,0.3474,0,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,l,1,0.2614,,,,,,,,0.2614,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,KHJ,2,001,male,2022-09-30_17h33.27.886,openIAT,2020.1.0rc3,Win32,60,a,1,0.2114,,,,,,,,0.2114,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
