instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.115740755,-0.405555556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133333333,-0.416666667,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.412962961,-0.319444444,1,0,0,1.3572,button_left,1.3572,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.388888889,-0.335185242,1,0,0,2.6127,button_left,2.6127,0,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.365740797,-0.336111111,1,0,0,0.9893,button_right,0.9893,0,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.383333333,-0.323148176,1,0,0,0.7323,button_right,0.7323,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.406481478,-0.346296353,1,0,0,0.5771,button_left,0.5771,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.143518533,-0.795370483,1,0,0,0.2926,button_left,0.2926,0,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.416666667,-0.297222222,1,0,0,0.4445,button_right,0.4445,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.362037065,-0.311111111,1,0,0,0.473,button_right,0.473,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.361111111,-0.312037065,1,0,0,0.3999,button_right,0.3999,0,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.421296295,-0.322222222,1,0,0,0.6118,button_left,0.6118,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.387963019,-0.317592621,1,0,0,0.4297,button_right,0.4297,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.390740734,-0.325,1,0,0,0.5514,button_left,0.5514,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.369444444,-0.321296353,1,0,0,0.5835,button_right,0.5835,0,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.392592589,-0.333333333,1,0,0,0.3781,button_left,0.3781,0,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.35648151,-0.317592621,1,0,0,0.3875,button_right,0.3875,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leo,1,001,male,2021-07-03_22h12.20.725,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.335185242,-0.332407464,1,0,0,0.4672,button_right,0.4672,0,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
