instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.053385417,-0.395833333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.053385417,-0.395833333,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,0,2.4871,,,,,,,,2.4871,0,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,2.4518,,,,,,,,2.4518,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,1.4308,,,,,,,,1.4308,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,1.4821,,,,,,,,1.4821,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,22.3879,,,,,,,,22.3879,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,5.3083,,,,,,,,5.3083,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,0.8513,,,,,,,,0.8513,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,1.5897,,,,,,,,1.5897,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,1.2763,,,,,,,,1.2763,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,3.1406,,,,,,,,3.1406,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,0,15.5734,,,,,,,,15.5734,0,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,3.0101,,,,,,,,3.0101,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,5.2314,,,,,,,,5.2314,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,0,1.2,,,,,,,,1.2,0,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,8.0385,,,,,,,,8.0385,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,0,3.2145,,,,,,,,3.2145,0,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,1.6312,,,,,,,,1.6312,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,3.8258,,,,,,,,3.8258,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,1.4918,,,,,,,,1.4918,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,2.5932,,,,,,,,2.5932,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,6.9566,,,,,,,,6.9566,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,3.2269,,,,,,,,3.2269,1,0,1,1,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,8.0689,,,,,,,,8.0689,1,0,2,2,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,4.4893,,,,,,,,4.4893,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,0,1.5112,,,,,,,,1.5112,0,0,4,4,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,0,1.6422,,,,,,,,1.6422,0,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,1.3164,,,,,,,,1.3164,1,0,6,6,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,a,1,7.3761,,,,,,,,7.3761,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Leslye Aracely Inchuña Gordillo,1,001,male,2023-03-31_16h06.20.656,openIAT,2020.1.0rc3,Win32,60,l,1,1.2908,,,,,,,,1.2908,1,0,8,8,17,1,stimuli/blank.png,Evil,l,,,,,,,,
