instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.055646701,-0.411983507,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05874566,-0.409609375,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9038,,,,,,,,0.9038,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.3183,,,,,,,,0.3183,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.2577,,,,,,,,0.2577,0,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.0407,,,,,,,,0.0407,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.2894,,,,,,,,0.2894,0,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.0218,,,,,,,,0.0218,0,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.4233,,,,,,,,2.4233,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0622,,,,,,,,1.0622,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.9649,,,,,,,,1.9649,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0747,,,,,,,,1.0747,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.8059,,,,,,,,2.8059,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9906,,,,,,,,0.9906,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.391,,,,,,,,1.391,1,0,2,2,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.922,,,,,,,,0.922,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.7349,,,,,,,,1.7349,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Lol,2,001,male,2024-03-10_19h24.55.520,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.3987,,,,,,,,1.3987,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
