instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.016666667,-0.380555556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000925954,-0.417592621,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,1.1543,,,,,,,,1.1543,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,1.0504,,,,,,,,1.0504,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6088,,,,,,,,0.6088,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.8842,,,,,,,,0.8842,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.4791,,,,,,,,0.4791,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.4898,,,,,,,,0.4898,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.537,,,,,,,,0.537,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.448,,,,,,,,0.448,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5709,,,,,,,,0.5709,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5227,,,,,,,,0.5227,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,1.5905,,,,,,,,1.5905,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5228,,,,,,,,0.5228,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,1.1154,,,,,,,,1.1154,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,1.2106,,,,,,,,1.2106,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.8066,,,,,,,,0.8066,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.8952,,,,,,,,0.8952,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6643,,,,,,,,0.6643,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.7068,,,,,,,,0.7068,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.6527,,,,,,,,0.6527,1,0,8,8,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.6053,,,,,,,,0.6053,1,0,9,9,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,1.6392,,,,,,,,1.6392,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.862,,,,,,,,0.862,1,0,1,1,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.9905,,,,,,,,0.9905,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.8569,,,,,,,,0.8569,1,0,3,3,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.7146,,,,,,,,0.7146,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.7757,,,,,,,,0.7757,1,0,5,5,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.4213,,,,,,,,0.4213,1,0,6,6,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.8481,,,,,,,,0.8481,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,1.4813,,,,,,,,1.4813,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.741,,,,,,,,0.741,1,0,9,9,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6238,,,,,,,,0.6238,1,0,10,10,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6477,,,,,,,,0.6477,1,0,11,11,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.5211,,,,,,,,0.5211,1,0,12,12,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6954,,,,,,,,0.6954,1,0,13,13,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.5991,,,,,,,,0.5991,1,0,14,14,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5383,,,,,,,,0.5383,1,0,15,15,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.8411,,,,,,,,0.8411,1,0,16,16,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6413,,,,,,,,0.6413,1,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.4725,,,,,,,,0.4725,1,0,18,18,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.6829,,,,,,,,0.6829,1,0,19,19,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,1.0275,,,,,,,,1.0275,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.4493,,,,,,,,0.4493,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5798,,,,,,,,0.5798,1,0,2,2,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,0,0.6619,,,,,,,,0.6619,0,0,3,3,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.8056,,,,,,,,0.8056,1,0,4,4,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5703,,,,,,,,0.5703,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,a,1,0.5614,,,,,,,,0.5614,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Louise,1,001,female,2022-10-05_12h48.37.292,openIAT,2020.1.0rc3,Win32,60,l,1,0.5807,,,,,,,,0.5807,1,0,7,7,9,1,stimuli/white_5.jpg,,l,,,,,,,,
