instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.043333333,-0.38,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0.043333333,-0.377777778,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.366,,,,,,,,1.366,1,0,0,0,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.775,,,,,,,,0.775,1,0,1,1,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.634,,,,,,,,0.634,1,0,2,2,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.924,,,,,,,,0.924,1,0,3,3,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.758,,,,,,,,0.758,1,0,4,4,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.968,,,,,,,,0.968,0,0,5,5,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.474,,,,,,,,1.474,1,0,6,6,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,Luca,1,001,male,2021-06-28_01h13.43.028,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.286,,,,,,,,0.286,0,0,7,7,4,1,stimuli/blank.png,Pleasure,a
