instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.010416667,-0.407552083,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0546875,-0.423177083,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,0.395833333,-0.251302083,1,0,0,1.3978,button_right,1.3978,0,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,0.328125,-0.213541667,1,0,0,1.4659,button_right,1.4659,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,-0.365885417,-0.26953125,1,0,0,1.1652,button_left,1.1652,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,0.032552083,-0.25,1,0,0,0.3826,button_right,0.3826,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,-0.455729167,-0.23046875,1,0,0,0.9987,button_left,0.9987,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,0.514322917,-0.330729167,1,0,0,1.6159,button_right,1.6159,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,0.305989583,-0.295572917,1,0,0,0.9167,button_right,0.9167,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,-0.447916667,-0.235677083,1,0,0,0.7653,button_left,0.7653,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,0.453125,-0.18359375,1,0,0,0.8824,button_right,0.8824,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,0,-0.348554033,-0.201674277,1,0,0,5.854,button_left,5.854,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Marcelo Alvites Escudero,2,001,male,2022-07-19_20h08.02.633,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
