instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.094726563,-0.391601563,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.081054688,-0.416015625,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,l,1,1.215,,,,,,,,1.215,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,l,1,1.157,,,,,,,,1.157,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.787,,,,,,,,0.787,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.647,,,,,,,,0.647,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.629,,,,,,,,0.629,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.7,,,,,,,,0.7,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.385,,,,,,,,1.385,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.654,,,,,,,,0.654,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.637,,,,,,,,0.637,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.515,,,,,,,,0.515,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Me,1,001,female,2021-02-16_10h17.00.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.765,,,,,,,,0.765,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
