instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.888888889,0.5,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.063888903,-0.40370369,1,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,l,1,2.0383,,,,,,,,2.0383,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,a,1,0.9294,,,,,,,,0.9294,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,l,1,0.6731,,,,,,,,0.6731,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,a,1,0.5893,,,,,,,,0.5893,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,l,1,1.0576,,,,,,,,1.0576,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,a,1,0.6471,,,,,,,,0.6471,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,a,1,0.7332,,,,,,,,0.7332,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,a,1,0.5786,,,,,,,,0.5786,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,l,1,0.6902,,,,,,,,0.6902,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,l,1,0.6055,,,,,,,,0.6055,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,Michalis,1,001,male,2023-06-26_14h46.44.954,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
