instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.156481513,-0.364814841,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133333364,-0.386111138,1,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,6.042845,,,,,,,,6.042845,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,1.76688,,,,,,,,1.76688,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,1.16062,,,,,,,,1.16062,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.898695,,,,,,,,0.898695,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.604275,,,,,,,,0.604275,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.74779,,,,,,,,0.74779,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,0,0.7478,,,,,,,,0.7478,0,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.97685,,,,,,,,0.97685,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.661325,,,,,,,,0.661325,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.609795,,,,,,,,0.609795,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,1.978115,,,,,,,,1.978115,1,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.77995,,,,,,,,0.77995,1,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,0,0.510505,,,,,,,,0.510505,0,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,4.08864,,,,,,,,4.08864,1,0,3,3,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,2.0622,,,,,,,,2.0622,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,a,1,0.71921,,,,,,,,0.71921,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,2,001,male,2020-09-25_17h06.22.324,openIAT,2020.1.0rc3,Win32,60,,l,1,0.79478,,,,,,,,0.79478,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
