instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.158333333,-0.389814843,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.158333333,-0.389814843,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,0,0.273148176,-0.345370399,1,0,0,0.3244,button_right,0.3244,0,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,0,0.273148176,-0.345370399,1,0,0,3.8314,button_right,3.8314,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,0,0.273148176,-0.345370399,1,0,0,0.2822,button_right,0.2822,0,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,0.600926039,-0.176851866,1,0,0,3.281,,7.8869,1,0,3,3,2,1,stimuli/blank.png,Happy,a,7.8869,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,-0.130555556,-0.499074131,1,0,0,1.915,,3.2634,1,0,4,4,1,1,stimuli/blank.png,Bad,l,3.2634,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,3.0304,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,3.0304,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.7832,1,0,6,6,5,1,stimuli/blank.png,Agony,l,1.7832,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.0605,1,0,7,7,8,1,stimuli/blank.png,Joy,a,1.0605,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,2.88,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,2.88,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.4383,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,1.4383,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,4.0492,0,0,0,0,5,1,stimuli/white_3.jpg,,l,4.0492,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,0,0.777777778,0.467592592,1,0,0,0.6155,button_right,0.6155,0,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,0,0.622222222,0.5,1,0,0,1.0648,,21.2304,0,0,2,2,7,1,stimuli/white_4.jpg,,l,21.2304,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,2.662,1,0,3,3,2,1,stimuli/black_2.jpg,,a,2.662,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.4386,1,0,4,4,4,1,stimuli/black_3.jpg,,a,1.4386,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,1.3661,0,0,5,5,1,1,stimuli/white_1.jpg,,l,1.3661,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.074,1,0,6,6,6,1,stimuli/black_4.jpg,,a,1.074,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.9596,1,0,7,7,9,1,stimuli/white_5.jpg,,l,0.9596,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.9181,1,0,8,8,8,1,stimuli/black_5.jpg,,a,0.9181,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.9052,1,0,9,9,3,1,stimuli/white_2.jpg,,l,0.9052,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,3.5519,1,0,0,0,10,1,stimuli/blank.png,Good,a,3.5519,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,3.1994,1,0,1,1,9,1,stimuli/white_5.jpg,,l,3.1994,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.5186,1,0,2,2,2,1,stimuli/black_2.jpg,,a,1.5186,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,3.1536,1,0,3,3,15,1,stimuli/blank.png,Agony,l,3.1536,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.7877,1,0,4,4,12,1,stimuli/blank.png,Happy,a,0.7877,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.1174,1,0,5,5,3,1,stimuli/white_2.jpg,,l,1.1174,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.2231,1,0,6,6,13,1,stimuli/blank.png,Hurt,l,1.2231,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.9675,1,0,7,7,11,1,stimuli/blank.png,Bad,l,0.9675,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.668,1,0,8,8,6,1,stimuli/black_4.jpg,,a,0.668,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.0826,1,0,9,9,18,1,stimuli/blank.png,Joy,a,1.0826,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.7119,1,0,10,10,1,1,stimuli/white_1.jpg,,l,0.7119,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.5977,1,0,11,11,8,1,stimuli/black_5.jpg,,a,0.5977,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.6495,1,0,12,12,5,1,stimuli/white_3.jpg,,l,0.6495,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,1.1147,1,0,13,13,19,1,stimuli/blank.png,Nasty,l,1.1147,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.847,1,0,14,14,7,1,stimuli/white_4.jpg,,l,0.847,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.6504,1,0,15,15,4,1,stimuli/black_3.jpg,,a,0.6504,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.9363,1,0,16,16,0,1,stimuli/black_1.jpg,,a,0.9363,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.698,1,0,17,17,17,1,stimuli/blank.png,Evil,l,0.698,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.8465,1,0,18,18,16,1,stimuli/blank.png,Love,a,0.8465,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-20_13h50.32.068,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.6662,1,0,19,19,14,1,stimuli/blank.png,Pleasure,a,0.6662,,,,,,,,
