instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
-0.120633812,-0.433264036,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,
-0.117857955,-0.403654841,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.287416259,-0.333333333,1,0,0,2.5247,button_right,2.5247,1,0,0,0,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.261508233,-0.338885048,1,0,0,1.8869,button_right,1.8869,1,0,1,1,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.241151999,-0.333333333,1,0,0,1.2988,button_right,1.2988,1,0,2,2,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.369535043,-0.304649605,1,0,0,0.9673,button_left,0.9673,1,0,3,3,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.265209402,-0.325005839,1,0,0,1.1828,button_right,1.1828,0,0,4,4,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.366759176,-0.316678346,1,0,0,1.2637,button_left,1.2637,1,0,5,5,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.367684478,-0.362017217,1,0,0,0.9177,button_left,0.9177,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.276312753,-0.317603502,1,0,0,0.9829,button_right,0.9829,1,0,7,7,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,,2,001,male,2022-07-25_16h06.35.982,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.358431644,-0.326856463,1,0,0,0.9177,button_left,0.9177,1,0,8,8,2,1,stimuli/blank.png,Happy,a
