instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.080555556,-0.398148148,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.078703704,-0.398148148,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,1,1.949985,,,,,,,,1.949985,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,1,1.17787,,,,,,,,1.17787,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,1,0.725675,,,,,,,,0.725675,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,1.210295,,,,,,,,1.210295,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,0.81698,,,,,,,,0.81698,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,1,0.790115,,,,,,,,0.790115,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,1,0.6409,,,,,,,,0.6409,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,0.65829,,,,,,,,0.65829,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,0,0.8836,,,,,,,,0.8836,0,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,0.99365,,,,,,,,0.99365,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,1.40117,,,,,,,,1.40117,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,0,1.8247,,,,,,,,1.8247,0,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,1.283625,,,,,,,,1.283625,1,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,a,1,0.76192,,,,,,,,0.76192,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,1,1.066955,,,,,,,,1.066955,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Pekdhngieh,2,001,female,2021-06-04_13h52.10.234,openIAT,2020.1.0rc3,Win32,60,l,0,0.833635,,,,,,,,0.833635,0,0,5,5,4,1,stimuli/black_3.jpg,,a,,,,,,,,
