instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
-0.02,-0.361111111,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
-0.01,-0.375555556,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.242,,,,,,,,1.242,1,0,0,0,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.016,,,,,,,,1.016,1,0,1,1,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.186,,,,,,,,1.186,1,0,2,2,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.257,,,,,,,,1.257,1,0,3,3,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.207,,,,,,,,1.207,1,0,4,4,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.945,,,,,,,,0.945,1,0,5,5,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.107,,,,,,,,1.107,1,0,6,6,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.668,,,,,,,,0.668,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,Phoebe,1,001,female,2021-07-20_14h43.23.456,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.991,,,,,,,,0.991,1,0,8,8,1,1,stimuli/blank.png,Bad,l
