instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.0859375,-0.395833333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.044270833,-0.40234375,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,1.3419,,,,,,,,1.3419,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.8959,,,,,,,,0.8959,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,0.7141,,,,,,,,0.7141,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,1.0971,,,,,,,,1.0971,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.6846,,,,,,,,0.6846,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,0.7685,,,,,,,,0.7685,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,0.6749,,,,,,,,0.6749,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,1.0308,,,,,,,,1.0308,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,0.6257,,,,,,,,0.6257,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,1.0282,,,,,,,,1.0282,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,0,1.6675,,,,,,,,1.6675,0,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,1.285,,,,,,,,1.285,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,2.2281,,,,,,,,2.2281,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,1.1069,,,,,,,,1.1069,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.8112,,,,,,,,0.8112,1,0,4,4,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.9087,,,,,,,,0.9087,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.7506,,,,,,,,0.7506,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,0.8178,,,,,,,,0.8178,1,0,7,7,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,a,1,0.8913,,,,,,,,0.8913,1,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.793,,,,,,,,0.793,1,0,9,9,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Raunak,1,001,male,2023-01-31_19h11.22.883,openIAT,2020.1.0rc3,Win32,60,l,1,0.7325,,,,,,,,0.7325,1,0,0,0,17,1,stimuli/blank.png,Evil,l,,,,,,,,
