instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.040240606,-0.394701809,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.007863066,-0.401179928,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.396392229,-0.31233724,1,0,0,0.9343,button_left,0.9343,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.393617015,-0.32159178,1,0,0,1.8594,button_left,1.8594,0,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.322386678,-0.282723236,1,0,0,0.6469,button_right,0.6469,0,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.385291396,-0.348429616,1,0,0,0.5107,button_left,0.5107,0,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.312210931,-0.343802473,1,0,0,0.4465,button_right,0.4465,0,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.389916738,-0.34565328,1,0,0,0.387,button_left,0.387,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.333487532,-0.325293562,1,0,0,0.9646,button_right,0.9646,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Resfy,1,001,male,2022-08-19_16h34.42.731,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.345513407,-0.268841468,1,0,0,0.734,button_right,0.734,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
