instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.018030518,-0.377774137,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070041545,-0.443654921,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.384882103,-0.329923759,1,0,0,1.1323,button_left,1.1323,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.331484082,-0.307038835,1,0,0,0.667,button_right,0.667,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.411927899,-0.365985019,1,0,0,0.9494,button_right,0.9494,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.386269208,-0.332697748,1,0,0,1.0854,button_right,1.0854,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.378640758,-0.332004436,1,0,0,0.6839,button_left,0.6839,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.366158124,-0.311893204,1,0,0,0.5993,button_right,0.5993,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.368238542,-0.311199744,1,0,0,0.6817,button_left,0.6817,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.353675435,-0.298023853,1,0,0,0.5471,button_left,0.5471,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.337725519,-0.307732591,1,0,0,0.6635,button_right,0.6635,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.376560332,-0.306345375,1,0,0,0.5497,button_left,0.5497,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.347434099,-0.293862797,1,0,0,0.8354,button_left,0.8354,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.329403627,-0.27999315,1,0,0,0.7985,button_right,0.7985,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.34188628,-0.302878222,1,0,0,0.795,button_right,0.795,1,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.306518851,-0.304958603,1,0,0,0.6677,button_right,0.6677,1,0,3,3,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.357142837,-0.313280272,1,0,0,0.8527,button_left,0.8527,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.31484052,-0.311893204,1,0,0,0.6511,button_right,0.6511,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.389736472,-0.284847519,1,0,0,0.6492,button_left,0.6492,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,0.321081958,-0.295249865,1,0,0,0.5654,button_right,0.5654,1,0,7,7,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.371705963,-0.275138781,1,0,0,0.6321,button_left,0.6321,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,0,-0.337725371,-0.291782268,1,0,0,0.8158,button_left,0.8158,1,0,9,9,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Richard,2,001,male,2022-05-16_20h43.01.745,openIAT,2020.1.0rc3,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
