instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.079522596,-0.380290604,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.078862599,-0.380290604,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.3941,,,,,,,,1.3941,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.731,,,,,,,,0.731,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5505,,,,,,,,0.5505,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6153,,,,,,,,0.6153,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6001,,,,,,,,0.6001,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4812,,,,,,,,0.4812,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5311,,,,,,,,0.5311,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5215,,,,,,,,0.5215,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5134,,,,,,,,0.5134,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4789,,,,,,,,0.4789,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.9468,,,,,,,,1.9468,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.753,,,,,,,,0.753,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6159,,,,,,,,0.6159,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.4175,,,,,,,,0.4175,0,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.5021,,,,,,,,0.5021,0,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6123,,,,,,,,0.6123,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.553,,,,,,,,0.553,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5651,,,,,,,,0.5651,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5613,,,,,,,,0.5613,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4958,,,,,,,,0.4958,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,5.064,,,,,,,,5.064,1,0,0,0,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.632,,,,,,,,0.632,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6288,,,,,,,,0.6288,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8463,,,,,,,,0.8463,1,0,3,3,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5222,,,,,,,,0.5222,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6146,,,,,,,,0.6146,1,0,5,5,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5301,,,,,,,,0.5301,1,0,6,6,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5632,,,,,,,,0.5632,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0955,,,,,,,,1.0955,1,0,8,8,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.514,,,,,,,,0.514,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4216,,,,,,,,0.4216,1,0,10,10,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4469,,,,,,,,0.4469,1,0,11,11,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.568,,,,,,,,0.568,1,0,12,12,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5715,,,,,,,,0.5715,1,0,13,13,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5302,,,,,,,,0.5302,1,0,14,14,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6367,,,,,,,,0.6367,1,0,15,15,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.546,,,,,,,,0.546,1,0,16,16,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5138,,,,,,,,0.5138,1,0,17,17,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6609,,,,,,,,0.6609,1,0,18,18,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7476,,,,,,,,0.7476,1,0,19,19,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.6049,,,,,,,,1.6049,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5551,,,,,,,,0.5551,1,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5491,,,,,,,,0.5491,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,S01,1,001,male,2023-09-28_10h26.35.211,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4452,,,,,,,,0.4452,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
