instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.126851852,-0.407407407,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.403703704,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.3945,,,,,,,,1.3945,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.4404,,,,,,,,1.4404,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.9023,,,,,,,,0.9023,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.6822,,,,,,,,0.6822,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,0,1.002,,,,,,,,1.002,0,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.3324,,,,,,,,1.3324,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.8659,,,,,,,,0.8659,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.8834,,,,,,,,0.8834,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.7656,,,,,,,,0.7656,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.2404,,,,,,,,1.2404,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,2.0327,,,,,,,,2.0327,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.8865,,,,,,,,0.8865,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.1176,,,,,,,,1.1176,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.2414,,,,,,,,1.2414,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.3419,,,,,,,,1.3419,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.0756,,,,,,,,1.0756,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.8891,,,,,,,,0.8891,1,0,6,6,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.5511,,,,,,,,0.5511,1,0,7,7,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.7349,,,,,,,,0.7349,1,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.0344,,,,,,,,1.0344,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.8032,,,,,,,,1.8032,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,2.0527,,,,,,,,2.0527,1,0,1,1,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.1867,,,,,,,,1.1867,1,0,2,2,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.9165,,,,,,,,0.9165,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.0522,,,,,,,,1.0522,1,0,4,4,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.4687,,,,,,,,1.4687,1,0,5,5,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,1.6515,,,,,,,,1.6515,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.9701,,,,,,,,0.9701,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.7839,,,,,,,,0.7839,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.8487,,,,,,,,0.8487,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.9323,,,,,,,,0.9323,1,0,10,10,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.697,,,,,,,,0.697,1,0,11,11,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,l,1,0.7688,,,,,,,,0.7688,1,0,12,12,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.739,,,,,,,,0.739,1,0,13,13,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,1.1359,,,,,,,,1.1359,1,0,14,14,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Serj,1,001,male,2022-11-09_16h55.31.298,openIAT,2020.1.0rc3,Win32,60,a,1,0.7694,,,,,,,,0.7694,1,0,15,15,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
