instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.130555556,-0.412963019,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091666667,-0.410185242,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,1.2547,,,,,,,,1.2547,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,l,1,1.6339,,,,,,,,1.6339,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,l,1,1.3981,,,,,,,,1.3981,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,1.1938,,,,,,,,1.1938,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,0.9168,,,,,,,,0.9168,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,l,1,0.6958,,,,,,,,0.6958,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,0.972,,,,,,,,0.972,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,l,1,0.7805,,,,,,,,0.7805,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,l,1,0.5846,,,,,,,,0.5846,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,0.6693,,,,,,,,0.6693,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,l,1,3.187,,,,,,,,3.187,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,0.9337,,,,,,,,0.9337,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,TAN,1,001,male,2024-07-01_21h54.46.503,openIAT,2020.1.0rc3,Win32,60,a,1,0.7599,,,,,,,,0.7599,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
