instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.062037037,-0.37962963,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.061111111,-0.37962963,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.9726,,,,,,,,0.9726,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.6458,,,,,,,,0.6458,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.4602,,,,,,,,0.4602,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.6206,,,,,,,,0.6206,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.5458,,,,,,,,0.5458,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.5884,,,,,,,,0.5884,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,2.4373,,,,,,,,2.4373,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.5616,,,,,,,,0.5616,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.5716,,,,,,,,0.5716,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.6007,,,,,,,,0.6007,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,1.0859,,,,,,,,1.0859,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.4683,,,,,,,,0.4683,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.5437,,,,,,,,0.5437,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.5064,,,,,,,,0.5064,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.6339,,,,,,,,0.6339,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.5742,,,,,,,,0.5742,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.8241,,,,,,,,0.8241,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.4077,,,,,,,,0.4077,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,l,1,0.5874,,,,,,,,0.5874,1,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.6251,,,,,,,,0.6251,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.7774,,,,,,,,0.7774,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,T~G,1,001,male,2024-07-08_16h57.13.267,openIAT,2020.1.0rc3,Win32,60,a,1,0.7623,,,,,,,,0.7623,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
