instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.065740741,-0.398148148,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.044444444,-0.380555556,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,0,6.3238,,,,,,,,6.3238,0,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,l,1,5.7395,,,,,,,,5.7395,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,l,0,5.6789,,,,,,,,5.6789,0,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,1,4.3151,,,,,,,,4.3151,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,0,4.4306,,,,,,,,4.4306,0,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,,0,,-0.275925926,-0.367592593,1,0,0,2.5452,button_left,2.5452,0,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,1,1.1907,,,,,,,,1.1907,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,l,0,0.5102,,,,,,,,0.5102,0,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,0,1.7101,,,,,,,,1.7101,0,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,1,1.0758,,,,,,,,1.0758,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,l,1,7.1361,,,,,,,,7.1361,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Tania ,1,001,male,2023-04-02_21h20.20.803,openIAT,2020.1.0rc3,Win32,60,a,1,2.2349,,,,,,,,2.2349,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
