instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.049479167,-0.41796875,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.049479167,-0.41796875,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,1.72243,,,,,,,,1.72243,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,1.796875,,,,,,,,1.796875,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,1.425435,,,,,,,,1.425435,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,0,0.980215,,,,,,,,0.980215,0,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,2.69803,,,,,,,,2.69803,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,1.210175,,,,,,,,1.210175,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,1.094565,,,,,,,,1.094565,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,1.380145,,,,,,,,1.380145,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,0,1.989075,,,,,,,,1.989075,0,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,0.679795,,,,,,,,0.679795,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,2.524435,,,,,,,,2.524435,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,1.186045,,,,,,,,1.186045,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,1.111675,,,,,,,,1.111675,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,0,1.462395,,,,,,,,1.462395,0,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,1.019265,,,,,,,,1.019265,1,0,4,4,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,0.80476,,,,,,,,0.80476,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,0.832085,,,,,,,,0.832085,1,0,6,6,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,0.78138,,,,,,,,0.78138,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,0.79903,,,,,,,,0.79903,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,1.83866,,,,,,,,1.83866,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,0,4.44227,,,,,,,,4.44227,0,0,0,0,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,l,1,4.54086,,,,,,,,4.54086,1,0,1,1,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,3.79463,,,,,,,,3.79463,1,0,2,2,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Tes,2,001,male,2021-01-15_09h46.16.537,openIAT,2020.1.0rc3,Win32,60,a,1,2.111715,,,,,,,,2.111715,1,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
