instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.103703718,-0.389814828,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.103703718,-0.389814828,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,3.3954,,,,,,,,3.3954,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,1.2512,,,,,,,,1.2512,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,1.3995,,,,,,,,1.3995,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.9341,,,,,,,,0.9341,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.6976,,,,,,,,0.6976,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.8664,,,,,,,,0.8664,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.7826,,,,,,,,0.7826,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,1.0736,,,,,,,,1.0736,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.716,,,,,,,,0.716,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,1.3183,,,,,,,,1.3183,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,0,3.2486,,,,,,,,3.2486,0,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,2.1481,,,,,,,,2.1481,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.8449,,,,,,,,0.8449,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,0,1.9678,,,,,,,,1.9678,0,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,1.3424,,,,,,,,1.3424,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.7053,,,,,,,,0.7053,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.7018,,,,,,,,0.7018,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.85,,,,,,,,0.85,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.889,,,,,,,,0.889,1,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.9663,,,,,,,,0.9663,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,2.0193,,,,,,,,2.0193,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.9582,,,,,,,,0.9582,1,0,1,1,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.8613,,,,,,,,0.8613,1,0,2,2,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,0.8662,,,,,,,,0.8662,1,0,3,3,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,1,0.7704,,,,,,,,0.7704,1,0,4,4,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,l,0,1.3041,,,,,,,,1.3041,0,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,Thea,1,001,male,2021-09-18_16h34.03.946,openIAT,2020.1.0rc3,Win32,60,a,1,1.0388,,,,,,,,1.0388,1,0,6,6,16,1,stimuli/blank.png,Love,a,,,,,,,,
