instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.001851825,-0.404629713,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002777751,-0.399074157,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,1.0415,,,,,,,,1.0415,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,1.1755,,,,,,,,1.1755,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,1.0981,,,,,,,,1.0981,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,0.7998,,,,,,,,0.7998,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.7471,,,,,,,,0.7471,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.5277,,,,,,,,0.5277,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,0.8875,,,,,,,,0.8875,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.757,,,,,,,,0.757,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.8985,,,,,,,,0.8985,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.8101,,,,,,,,0.8101,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,1.4682,,,,,,,,1.4682,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,0.8237,,,,,,,,0.8237,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,1.0875,,,,,,,,1.0875,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,0.5602,,,,,,,,0.5602,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,0,1.2693,,,,,,,,1.2693,0,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.9615,,,,,,,,0.9615,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,1.1234,,,,,,,,1.1234,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,0.767,,,,,,,,0.767,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,l,1,1.0871,,,,,,,,1.0871,1,0,8,8,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,VP30,1,001,female,2021-09-27_08h18.01.696,openIAT,2020.1.0rc3,Win32,60,a,1,1.0323,,,,,,,,1.0323,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
