instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.026041667,-0.39453125,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009114583,-0.395833333,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.032,,,,,,,,1.032,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,4.157,,,,,,,,4.157,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.511,,,,,,,,1.511,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.859,,,,,,,,0.859,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.738,,,,,,,,0.738,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,0,0.725,,,,,,,,0.725,0,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.092,,,,,,,,1.092,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.776,,,,,,,,0.776,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.125,,,,,,,,1.125,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.675,,,,,,,,0.675,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.823,,,,,,,,0.823,1,0,0,0,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.744,,,,,,,,0.744,1,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.026,,,,,,,,1.026,1,0,2,2,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.741,,,,,,,,0.741,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.742,,,,,,,,1.742,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.709,,,,,,,,0.709,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.775,,,,,,,,0.775,1,0,6,6,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.845,,,,,,,,0.845,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,0,1.662,,,,,,,,1.662,0,0,8,8,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.707,,,,,,,,0.707,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,3.026,,,,,,,,3.026,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.825,,,,,,,,0.825,1,0,1,1,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.942,,,,,,,,0.942,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.63,,,,,,,,0.63,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.591,,,,,,,,0.591,1,0,4,4,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.642,,,,,,,,0.642,1,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.842,,,,,,,,0.842,1,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.694,,,,,,,,0.694,1,0,7,7,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.859,,,,,,,,0.859,1,0,8,8,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.592,,,,,,,,0.592,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.657,,,,,,,,0.657,1,0,10,10,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.559,,,,,,,,0.559,1,0,11,11,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.824,,,,,,,,0.824,1,0,12,12,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.559,,,,,,,,0.559,1,0,13,13,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.491,,,,,,,,0.491,1,0,14,14,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.524,,,,,,,,0.524,1,0,15,15,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.492,,,,,,,,0.492,1,0,16,16,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.406,,,,,,,,0.406,1,0,17,17,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.707,,,,,,,,0.707,1,0,18,18,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.443,,,,,,,,0.443,1,0,19,19,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,Vanalata,2,001,female,2020-08-29_19h13.54.203,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
